hash,name
002C3F3B7F8787C0,Physics_SphereCastEnts
00455C292C412FD7,updateregionclearancepos
004780F3970D1F0C,GetLocalPlayer
005113F7AEED366A,Vehicle_SetAngularVelocity
00744EB6F9BAF860,getmapinfobundle
00790D8A33344CFC,revive_terminate
008FADB224B74D87,unsetperk
009A83A92449D986,setrotorwashenabled
00A2CC0E5673A1A7,setmagicgrenadecollision
00AC0D1D3619DEDF,setvehicleturretmaxrange
00AC467F115F3893,getmovingplatformparent
00ACBB0FBADABD8A,clearcinematicmotionoverride
00B69F7E4E60F302,vehicle_changeseatsnotehandler
00B6C244B17FFA46,getweaponslistoffhands
00B95B005882CDAF,zombieplayleapoutroanim
00C25EBBA43078BA,asmcurrentstatehasaimset
00CAD845ABDE9051,startbeam
00D05ACF16DF79D5,getinairpocket
00D9E61A9CB88F27,setbackupcoverfrompos
010F4F54702C591C,Physics_TakeControl
01104EC8D272B4D4,BotMemoryEvent
0115DC0D231045A7,anglestoright
01210610968CFF13,SetNVGAreaLightEffect
01278ECA14782CF0,vehphys_deactivate
012CAFF5F610D2F9,setfactiondisposition
014FB99E48BCFE9E,Objective_SetShowOnlyInVehicle
01525504128A2362,sethinticon
016DF629861D1395,tablelookupgetnumrows
0174435A9917383F,vehicle_settopspeedreverse
0189906016508608,botfindrandomgoal
01899AAD6A5246B8,SetupMotionWarpAdjustStart
01AC3703E7BC56A8,AISpawnDirectorSetPreferredSpawnArea
01D738BBB4496EFC,clearportableradar
01D870BA31219E81,setintrocameraactive
01DFEB607BCB97E3,HasGrenadeCooldownElapsed
01E4181CCA60B879,setplayersharedprogression
01ECCF4BEA7DE024,getturretcurrentyaw
01EF2126A05EE3A1,animscripted_blendin_isactive
01FC1F3BD0669606,GetCSplinePointTension
01FD789E0E531542,AITruncatePathToDistToGoal
020017EFCCE64DA1,setpulsefx
021A6496309AD0B5,SpawnCustomWeaponScriptable
021AA7260FE00EC7,withattachment
023FE6DAA36757C4,getxcamtime
024019364084B6A8,requestcovernode_init
024187BB613F4B7A,skydive_cutparachuteoff
0242524B1CA734AF,isusinganimtree
0245959CCFB1152B,setpatrolreact
02760807C35AC4C7,vehicledriveto
0277EF9772180804,isuseavailable
0284FE2713CE0368,getxhashhexname
02919CD68D9CA67F,assignweaponprimaryslot
0299ABFA5D1F452F,objective_removeteamfrommask
02B5AAED842DB462,autousescriptableresult
02C88AD0462D6282,SetLightFovRange
02D60F26853BF9F7,ShowHudSplash
02DE9DE5BBE1DDB0,getvehicleturretcamo
02EDAC182960C6EF,IsGlobalClanXPScaleActive
030E8887DA10157E,islookingat
03123E9F6CF97819,isproxyclient
0316B22B7189865D,playerlinkedsetforceparentvisible
032F62F5FEE7C04E,GetFortressListUnused
03326C1623F8D1BA,IsHanging
0333A08591AF6B59,getattachmentsattachmentdata
0346133CD10F2341,hidepart_allinstances
03644C305F202825,cantacticalads
0372AD63C95074DE,axistoangles
03759E26B1B750F5,Objective_SetObjectiveType
0375B89B55978A46,objective_setshowoncompass
037B15C8A299EE27,islookatapproved
0385D82B740322B3,Objective_SetShowPinnedProgressBar
038A2E2BBB042F08,disableexecutionattack
03999CFECB137436,getmuzzleangle
03A1419FC14471AB,Vehicle_EnableClientNotetracks
03A63B70F9A949A4,getweaponbasename
03B9B21F0FE3D2EE,getweaponarrayinradius
03D18E780BB2B451,isentitywithincone
03D3061B4E53671D,FrontEndSceneCameraCharacters
03DA9D2492927AAF,SetSpecialActive
03E2F17D9E256FEA,arraycompare
041641539919596C,destroynavrepulsor3d
041819452B91DD20,getspawnerteamarray
041A0DD05552F353,isenttype
042319057A16481E,aispawndirectorfloodfillshutdown
044DC49C1D4C712C,getscriptableislinked
044EF27F8F8DA39D,finishcoverarrival
045CB231917D086D,turretgetaim
047DE5423150155C,target_offsetlocalspace
048DF2084EACC76A,getaiformationmembers
0493C4BBBBE25A6B,setturretmaxrange
0497FA06A8894EC9,aisetanimknoblimited
04B41CD4478B5B11,assignweaponmeleeslot
04CCD15493246115,clearhanging
04DD324E6782FC73,enableoffhandspecialweapons
04DE5BA677B43A10,Vehicle_SetWorldCollisionCapsule
04F513EB21F6027E,forcehidegrenadehudwarning
050222C003F558A4,setflaggedanimknoball
050723B69FD11B15,objective_setprogress
0515B5F12B1596F9,hudoutlinedisable
0516AB89AF25588E,getnodesonpath3d
0518B134C09D58F8,physics_unregisterforcollisioncallback
052D803037B4ABDB,soundhasfacialanimation
0531D3751ACDF9A4,physicslaunchserveritem
053EA0D6248A4E16,PlayAnimScriptSceneEvent
0540931BD44E5598,zombie_cannonball_update
0561477358009036,AnimScripted_ClearPredictedAnimations
0578F15B0E506E22,AllowWalk
0592C245801DE2EB,shouldstrafestart
059F383566F62BCA,getspawner
05A3C4A09915E304,setyawspeed
05BD94BA03AC8EE7,SetChargeMeleeHudVisible
05BFF66F44C55AFA,weaponvictimweapondeathsoundplayer
05C766D1D0140B86,hasclientomnvar
05DB06436019755D,UpdateSightState
05DD689FC0D9DFB1,GetCalendarEventWithID
05E4C3C687094385,CanSpawnTurret
061D498384A1DF05,setturretaispread
062A80B2E7B57FB8,getnorthyaw
062D332D650D7BE6,getweaponslistexclusives
065DD049ECE71414,setheadiconsizeworld
066D2C77E05584B9,ShootBlank
067FB719932ADE3E,SetDynamicDvar
0693B434AA9ACEB3,coverchangestance_init
06AF28C87392C39E,forceusehintoff
06C8B5F034CB28A1,getvehicleturretavoidplayers
06E856D663173087,setaiformationshouldsetpath
06F5C2F74D066FB8,notifyonplayercommandremove
06F63C6DA44AEAB9,setavoidancemaxangledelta
06F8554E52CE28FC,hastacvis
0726D6019F8A865A,LENGTH
072BD0509DB4D471,soundsubmixexists
073E71261DF30D2E,setheadiconfadefromview
074D6440DCC506E5,enableplayeruseforallplayers
07555CFA16F56E28,resetThreatUpdate
075F0338AE24788A,forceboostonlyjump
0771FB62E0D43AD8,Objective_SetPingLabel
077B4AC4ACE464CA,generateaxisanglesfromforwardvector
077DA97D2807268D,setminimap
0784C271CD8DE0AF,target_isincircle
0789C03F3198FE0F,setanim
0793BC1F91BD8C21,laseraltoff
07964BA91C940EAF,getaitypecount
07A2F256E52489A6,reducetacpointdensity
07AD46E0C9ACDC23,setvehicleturretsticker
07BA9F1A355C7868,coverexpose_terminate
