hash,name
002F86E19A9E25FD,getmaterialatlasinfo
0030A2BFD9B34742,ocdsresetstate
005EFDC0ADF96E56,setwipexsegments
00AB31B755C2F07D,setupspstealthcompasshud
00AE3C47E9571C81,GetSearchStatus
00BB106EE033573B,updateinstancecomponents
00C46FE73C6C0458,setstreamreplacementmaterial
00F8218CA2F27D19,getcategoryinfofromindex
0103E25A8514332E,setupScaleCoverWholeWidget
01095104D8D7ED60,getlastsearchedplaylist
010A5732AB1DAE9F,HasActiveLocalClient
011014FCF5F64C7B,isworkavailable
011F62BBBEC860F6,IsDisplayOutputHDR
01229D9633AE7746,setupblood
01524FFCDC9019F8,getvisiblemodel
01540BC46FAC1D7E,linkactivexcamtoentity
01578D1E54AAF91D,needfixup
019E17A0E38F313A,getstreamingenabled
01A023ECB9DFFF24,getcharacteroperatorskinref
01EBB6BFE8777309,setglitchcolorblue
01F8C84E462AB74A,getcategoryplaylistsbycategoryid
02043FF221ED6A77,setpartyuiroot
021103F2ABD5B496,IsPCSimple
021F781E9288BCD7,GetReceiveActivityPartyInvites
0220E22F84FA3AD7,getislooping
02370C5DAF88C3CD,iscategorynew
023D92A00F6E0517,hasmask
024D6226BE2B4071,setresetprocbones
0258C1DCEAAEC91B,reportmemoryusageofcurrentscreen
026133D8D52763EB,GetNumPlayersInTeam
0268AA37D2EB2AFE,getcolumnspacing
029352BDAF12E41B,Steam_GetFriendName
02A0168FAF745ADF,ocdsgetstate
02AFF3A853910DFB,IsUGCRestricted
02C97C4589917A4F,isconnectedtofirstparty
02F99F20243672AB,commonitem_getitemnamefromlootid
030D7E1C0B79EFFB,setscale
0316F605C1317397,DLogSendMatchEndSelection
031739844D64ACC3,setinvert
034E06AC87784A76,createanonymous
035F3B42E54FF0DB,resetzoomlevel
0364D8F42A41F6E0,GetMenuVideoName
03764B0983EE6900,PromptRequiresBacking
039F1CE4F4DE2117,iscompasscustomoperatoriconsenabled
03A9F1F51625857F,getdata
03B6AF6E42866493,CloseVirtualKeyboard
03ED03FB87F2A43C,StoreItemViewEnded
04069DE29EEDD103,GetCurrentPlatform
0406C672F7C39BAC,setcharactercustomattachment
0421C0162EBF4ED2,updatescrollingoverlayshaderparams
0446FFD0DEAD15E3,getprivatepartyid
044A2CF98CF855EC,getoffset
044D4CD087AF1376,GetUnboundKeyBindOptions
0453EE8C9FA7EF62,dlogpresencedata
0458960276A38E6A,settexteditactive
048E19A060AAE931,clearinvitation
04AF1CF5FDA63B52,isblueprintweaponattachmentprotuned
04C819B538FED3CD,ScaleLoopSoundVolumeAndPitch
04E2D9573CAC224C,markfordelete
04EA0063F0473C43,canrequestjoincode
05425B0F17D005A9,setworldposeoverrideenabled
05970EABB68EF215,getpreselectedcategory
059F2F8C15EA7399,IsPlayerInJoinableGame
05BB4B1F55914D3D,playsequencenative
05D874D3BFE6FCB3,requestfence
05E552CB29679D41,getxhashtype
05E5C2F3162463E6,joinfromlobbycode
06095E5CAB75A066,RequestMemoryLeakCheck
0610F2A3022C3BBF,SetSuspendAsyncRender
067BF92AC791CB0D,getelementtextdims
068B6D6128AFE628,trygetlocalizedconfigstring
068DAC7F93A7AC2C,exchangecurrencyforinstancequantity
06991337AE950F99,GetMilliseconds
06C36BA788FE3BB6,AreSquadsSet
06DA8A40563B2BF3,isfetchingbracket
071B1FC98BB22C52,getpendingacceptlist
073BA4B980F071BC,SetUsingMLGRules
0750BED1C6AF4864,SetMaxPartySize
07A1CC1E390AFCD8,getbookmarks
07A334F43E09786F,FormatTimeTwoMostSignificant
07AB21BB98141766,UsePartialVariant
07AC1CFA9DB8F621,ResumeVideo
07D3158A9539A355,MarkLocalized
07E86050E6607699,isintournament
07EBD783D0F4AC7E,ffotdisreloadpending
07F51CE179FAE433,setupscreencenterfadeelement
07F97E299A56B829,computecolumnleftfromright
07F9E7147F790D6A,getplaylistmapnamelist
084287BE93239E99,IsTouchEnabled
0846A5CB122347E6,canpreload
084C1FFE5DAF816A,is3dtransform
0856C13E8512DAD0,removehudoutline
085F816CFA3FE42B,IsClientIdInMyTeam
086D445B156291BD,bindelementtoptomodel
08859601263DC70B,PreCacheGlyphs
088FBC854CDE6C22,IsLanguageAvailable
08B73907B55C4D71,io
08BB57B3009FCC19,getlocalizedconfigstringindex
08CEE533922762B2,updateintvalue
08CF5A323493AFE2,IsShowingOnlineUpsell
08F9601B471AC8EA,IntToRGB
09028CCF8DB70BE8,getrequestedcachesize
09258F49F515F97B,IsMultiplayer
0926B1DECE2B6039,IsPCMSStore
093926BD86EEA5D6,setupobjectivedistance
0942CAF21523119F,resetdynamicimages
094655C9EC65614D,setchildmargin
0953A4ED6C5D4CE2,setcount
09AB164AE0958B90,profileaddannotation
09C45AFEB18831B9,shouldunloadregisteredtype
09C74198340923D0,equipcommontolocation
09CABD01A9081B39,haspendingactions
09D65588E886D72F,getanimationlength
09EAD9E04943558D,touchxmodel
0A0024CF802ED68B,SetTextScramblerLetterChangePerSec
0A1964D04E992249,IsUserInDWBlockList
0A2ADB3630B560FD,GetRawClanTag
0A2E677420D8A359,playweaponvfx
0A578EE99F338C0C,patchgetstate
0A61DC962A61C85F,getseasonnumber
0A6309027523469F,getcharacterloaded
0A9680092615A8F8,AreMultiTeamsSet
0A988866C889EAAD,isinitialized
0A9AFC4E601A350B,UseBattleNetAuth
0AAA6F8A71A1B8E3,GetContentProgress
0AC235533DCCF5E5,getplayernamewithhash
0AC4002A1EC7985A,GetUniqueStreamedImagesForWidget
0AC493D028CF27F9,getscriptablepartstateinoperable
0AEA965342097A06,sendweaponbuildnotification
0AF1BEB748AF88F5,ischallengecodesent
0AFEFFD70F4CEF3C,instanceinuse
0B1392A22642D500,getgamemodesincategory
0B1674E26D844B36,fetchdocument
0B301014BB7BA032,getweaponclassname
0B5B0E5715EBA518,setpeaknits
0B6F43E98C3E891A,getleaderboardinfo
0B7D304F1F31158E,isowned
0B7D5929894C0702,getpartyleaderxuid
0B8D4748BE2047A5,setcharacterfadeenabled
0BA2F4107D35748C,locationselectionsetcursortoplayerpos
0BA3D5F4206FB752,GetDvarType
0BA84F92B6D4F69B,blockplayer
0BA8E96F5598F0C2,purchase
0BDA9FD2B4D9C776,ShowEmptyStoreDialog
0BE636A91711ED30,hasweaponviewmodels
0BE78E921B4A50A4,getstreamreplacementmaterial
0C2B21B6E7D0D061,getnotifications
0C37E66052207FED,getgametypenamekey
0C3CF15E8343FCBA,GetBaseWeapon
0C3DFE9D3355C27A,emergencystop
0C436AD5B92B0408,CanResumeGame
0C4748ED17D18E58,setrankedplaycrossplaysetting
0C4A7AA21B8691E0,gettimeoflastsavegame
0C7F245AF6AFEF85,settriangleverts
0CBB6EBCF8D8D4AB,getweaponwidgetusesscopestencil
0CC15E38125CE143,TelemetryMenuChange
0CE141FB6CDD210E,receivepostfxlite
0CF9713DC521BD7B,craftrecipe
0D2813B521711C11,IsUserSignedIn
0D4241445553170B,IsAnyRegulationActive
0D508EAEEA2143CC,sethudelemlayer
0D5F5C76D9442FFE,canallpartymembersplaysubscriptionrequiredcontent
0D7A41EFC28829D0,getcurrentseasontimeremaining
0D84CAEED33E4AFD,fencespinnergetsuccessshowpopup
0DA7A89CE2B1A2CA,HasOnlineServiceSubscription
0DB367F0BBBFBABA,IsUsingPS4Controller
0DD9D856EA1C159E,IsDemoBuild
0E3A2470FE6E2009,clearbreakonunsubscribe
0E9FA7E88CF60C5E,popgamemodetransition
0ED932BCC517D9AD,setradialwipesegments
0EE4C4999D9AE61E,getfpsku
0EEE54527E692952,GetBorderImageFromKeybind
0EF515D80AB709C6,quitprivatematch
0F0650F8FD1D2846,getoptimizedattachments
